날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-03-30,평일,19,서촌사거리-북 (남향),있음(비0),137,B형 검토,0,0.0000
2026-03-30,평일,20,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,20,서촌사거리-서 (동향),있음(비0),121,B형 검토,0,0.0000
2026-03-30,평일,20,서촌사거리-북 (남향),있음(비0),54,B형 검토,0,0.0000
2026-03-30,평일,21,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,21,서촌사거리-서 (동향),있음(비0),111,B형 검토,0,0.0000
2026-03-30,평일,21,서촌사거리-북 (남향),있음(비0),54,B형 검토,0,0.0000
2026-03-30,평일,22,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,22,서촌사거리-서 (동향),있음(비0),74,B형 검토,0,0.0000
2026-03-30,평일,22,서촌사거리-북 (남향),있음(비0),46,B형 검토,0,0.0000
2026-03-30,평일,23,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-30,평일,23,서촌사거리-서 (동향),있음(비0),35,B형 검토,0,0.0000
2026-03-30,평일,23,서촌사거리-북 (남향),있음(비0),38,B형 검토,0,0.0000
2026-03-31,평일,00,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0476
2026-03-31,평일,00,서촌사거리-서 (동향),있음(비0),29,B형 검토,0,0.0238
2026-03-31,평일,00,서촌사거리-북 (남향),있음(비0),18,B형 검토,0,0.0238
2026-03-31,평일,01,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,01,서촌사거리-서 (동향),있음(비0),23,B형 검토,0,0.0000
2026-03-31,평일,01,서촌사거리-북 (남향),있음(비0),17,B형 검토,0,0.0000
2026-03-31,평일,02,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,02,서촌사거리-서 (동향),있음(비0),14,B형 검토,0,0.0000
