날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-02-07,토요일,14,멀뫼사거리-동 (서향),있음(비0),406,B형 검토,0,0.0000
2026-02-07,토요일,14,멀뫼사거리-서 (동향),있음(비0),770,B형 검토,0,0.0000
2026-02-07,토요일,14,멀뫼4R-남 (북향),있음(비0),1321,B형 검토,0,0.0000
2026-02-07,토요일,14,멀뫼사거리-북 (남향),있음(비0),781,B형 검토,0,0.0000
2026-02-07,토요일,15,멀뫼사거리-동 (서향),있음(비0),367,B형 검토,0,0.0000
2026-02-07,토요일,15,멀뫼사거리-서 (동향),있음(비0),759,B형 검토,0,0.0000
2026-02-07,토요일,15,멀뫼4R-남 (북향),있음(비0),1384,B형 검토,0,0.0000
2026-02-07,토요일,15,멀뫼사거리-북 (남향),있음(비0),812,B형 검토,0,0.0000
2026-02-07,토요일,16,멀뫼사거리-동 (서향),있음(비0),401,B형 검토,0,0.0000
2026-02-07,토요일,16,멀뫼사거리-서 (동향),있음(비0),799,B형 검토,0,0.0000
2026-02-07,토요일,16,멀뫼4R-남 (북향),있음(비0),1341,B형 검토,0,0.0000
2026-02-07,토요일,16,멀뫼사거리-북 (남향),있음(비0),779,B형 검토,0,0.0000
2026-02-07,토요일,17,멀뫼사거리-동 (서향),있음(비0),371,B형 검토,0,0.0000
2026-02-07,토요일,17,멀뫼사거리-서 (동향),있음(비0),733,B형 검토,0,0.0000
2026-02-07,토요일,17,멀뫼4R-남 (북향),있음(비0),1361,B형 검토,0,0.0000
2026-02-07,토요일,17,멀뫼사거리-북 (남향),있음(비0),867,B형 검토,0,0.0000
2026-02-07,토요일,18,멀뫼사거리-동 (서향),있음(비0),365,B형 검토,0,0.0000
2026-02-07,토요일,18,멀뫼사거리-서 (동향),있음(비0),618,B형 검토,0,0.0000
2026-02-07,토요일,18,멀뫼4R-남 (북향),있음(비0),1314,B형 검토,0,0.0000
2026-02-07,토요일,18,멀뫼사거리-북 (남향),있음(비0),736,B형 검토,0,0.0000
2026-02-07,토요일,19,멀뫼사거리-동 (서향),있음(비0),227,B형 검토,0,0.0000
2026-02-07,토요일,19,멀뫼사거리-서 (동향),있음(비0),494,B형 검토,0,0.0000
2026-02-07,토요일,19,멀뫼4R-남 (북향),있음(비0),1078,B형 검토,0,0.0000
